symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,EU.C021.C1,EU.C021.C2,EU.C021.C3,EU.C021.C4,EU.C021.C5,EU.C021.C6,EU.C021.C7,EU.C021.C8,EU.C021.C9,EU.C021.C10,EU.C21.ES_c21
A1BG,46.648645084634445,-0.005817466837878853,0.2713425388282106,0.9598561875437913,0.98509037473707,49,52,50,40,47,34,13,36,30,57,87
A1BG-AS1,104.35836437068697,-0.018612852311919535,0.18547758847136142,0.8684915021426887,0.9486610004026561,141,126,117,93,138,107,65,103,100,86,78
A2M,310.33413832824976,-0.08976309358906087,0.32218776619568784,0.449980754349454,0.7193751298480018,602,126,138,158,142,46,155,123,132,86,1324
A2M-AS1,91.93223744335684,-0.08507518439946105,0.2469024806037457,0.4838179937249757,0.7446578356733012,41,126,152,142,39,108,104,94,113,65,41
A4GALT,89.79647594809506,-0.7148178215177965,0.42663710180826536,0.0023278987202991165,0.023262269797459392,14,136,192,166,104,102,55,53,48,82,38
AAAS,654.0653519956222,-0.024162894022965273,0.1289225596663345,0.8031170953951611,0.9230710162840271,886,554,757,587,792,473,386,628,614,444,876
AACS,840.8123735116671,0.1469553837618226,0.12901813110619337,0.13604411950240397,0.38509318654876107,879,779,1049,826,1181,921,639,998,838,736,546
AADAT,427.0094991892307,-0.22537294597908225,0.22881303184484492,0.09205395939524914,0.30429609132269797,557,390,762,634,432,348,410,435,379,283,176
AAGAB,1536.1904930976782,-0.05725830599328223,0.125720064015063,0.5494995878568275,0.7867296668162911,1980,1416,1963,1603,1806,1535,1340,1620,1506,1315,976
AAK1,3327.286338500533,0.02485902213078661,0.11172468822451212,0.7790645854210074,0.913158284660675,5417,3608,5575,4057,3408,2951,3654,3289,3265,2482,955
AAMDC,141.12995324182796,0.06642735121962577,0.19407650501504398,0.5642789563006336,0.7977588698931487,97,88,173,133,299,206,94,146,104,121,134
AAMP,1325.1659970638068,-0.06967937359669442,0.17238747778224403,0.5314049169892272,0.775893384885604,1349,1182,1556,1090,2200,1539,715,1463,949,1116,1593
AAR2,775.5843962745442,0.08322629870889783,0.13198998671576814,0.3991747899170194,0.6833657100561454,831,740,925,750,805,789,606,845,759,600,673
AARD,13.898706004012569,0.1311280270554383,0.3503951941719644,0.29223670036594446,0.5825198069369154,0,6,15,18,16,4,10,23,16,19,22
AARS1,3451.1924323928833,0.03378092753589537,0.13023601922294326,0.7290295549840633,0.8898025773141555,6123,2939,3334,2817,3360,2319,1472,3179,2788,2042,6939
AARS2,414.3330954796333,0.1729342234934968,0.15479524035518072,0.11609472852365668,0.34966626567244213,597,261,395,245,432,287,192,365,285,241,863
AARSD1,354.6754348009921,0.9630690038039432,0.2518407964142902,3.450172472432948e-6,1.0071849640679259e-4,521,222,246,194,570,350,257,386,324,303,425
AASDH,316.8087777186059,-0.1686848190143674,0.18620028226007482,0.15831637583110467,0.4176052689877563,364,309,496,411,336,305,303,327,286,201,195
AASDHPPT,1899.9328654104827,0.03241212841334882,0.10526465103869302,0.702935088030159,0.8772503811605079,2027,1810,2876,1921,2075,1880,2026,1915,2113,1583,1001
AASS,1379.767378631549,0.49044086382864027,0.17786415032975617,2.774246439419385e-4,0.004399275123022306,1631,830,1725,1070,1546,1272,1546,1634,1662,1234,1096
AATBC,21.30870228940955,-0.02385413295318785,0.3410892727764124,0.8193647436060248,0.9307314618185989,46,10,10,20,26,6,12,14,17,11,4
AATF,1000.6951791142961,-0.09686432649422035,0.14048365210888614,0.3442960649434385,0.6323898022687863,1445,905,1386,1044,1533,947,622,1040,860,856,708
AATK,57.158886140737565,0.03710043641301832,0.23262063542150482,0.7517622652009677,0.9003676878730281,34,56,60,32,56,23,33,45,37,53,127
ABAT,505.36543672410585,0.08874984997367664,0.13734757514431567,0.37970929441622764,0.6655990499825559,545,543,732,559,624,480,536,577,625,509,126
ABCA1,3554.9228619827363,-0.6575151145433903,0.1477750871069353,2.868725624816113e-7,1.1218262408238747e-5,3040,5494,7692,5742,3409,2802,3067,3357,3592,2801,412
ABCA10,8.959460365824576,0.08953145547585073,0.3509901087437523,0.43190618400023273,0.7074410324688288,2,23,17,3,12,4,9,9,8,12,3
ABCA11P,20.334186573622166,0.4451208645310713,0.6360825334743092,0.01887865324702984,0.10799443368239268,22,9,12,0,20,17,48,34,38,11,10
ABCA12,178.74015767093255,0.4107677400093317,0.36988272022781266,0.02314217992375635,0.12526033075101575,136,90,143,93,228,202,220,327,365,212,1
ABCA13,19.026337244372552,-0.15637614171143868,0.3846465154947532,0.21697595129068456,0.4980157298490516,17,36,62,15,21,15,14,1,10,21,15
ABCA2,836.9569008739408,-1.0119923532897384,0.2161374902118061,9.609742913536711e-8,4.182254331720417e-6,1106,1081,1350,1225,705,602,458,722,494,468,988
ABCA3,571.2198703954529,-0.7105042954271361,0.19539044053004814,8.511994242847012e-6,2.2668784667792568e-4,644,777,821,742,484,360,364,552,396,359,705
ABCA4,36.23127788612016,-0.08075277403728373,0.3043928458248417,0.49840105106933635,0.7549941713468002,16,16,25,21,15,27,26,22,21,12,166
ABCA5,374.864720636269,-0.5227854594050746,0.3248125887113784,0.005442726516321297,0.04455031733800638,298,437,601,362,402,333,340,306,385,255,28
ABCA7,478.29384382700476,-0.7537790585306426,0.2999918027308715,2.8960550799362293e-4,0.004562106389129732,277,707,799,637,539,416,268,452,347,318,399
